Cod_comuna_x;NOM_COMUNA;Cod_barrio;NOM_BARRIO;Grupo;BARRIO_AT;personas
2;02. NORORIENTAL;52;ESPERANZA II;A;SI;348
2;02. NORORIENTAL;52;ESPERANZA II;B;SI;904
2;02. NORORIENTAL;52;ESPERANZA II;C;SI;708
2;02. NORORIENTAL;52;ESPERANZA II;D;SI;57
2;02. NORORIENTAL;53;ESPERANZA III;A;SI;254
2;02. NORORIENTAL;53;ESPERANZA III;B;SI;481
2;02. NORORIENTAL;53;ESPERANZA III;C;SI;325
2;02. NORORIENTAL;53;ESPERANZA III;D;SI;41
2;02. NORORIENTAL;54;MIRADOR NORTE;A;SI;396
2;02. NORORIENTAL;54;MIRADOR NORTE;B;SI;515
2;02. NORORIENTAL;54;MIRADOR NORTE;C;SI;156
2;02. NORORIENTAL;54;MIRADOR NORTE;D;SI;13
2;02. NORORIENTAL;57;BOSCONIA ;A;NO;3
2;02. NORORIENTAL;57;BOSCONIA ;B;NO;7
2;02. NORORIENTAL;58;13 DE JUNIO;B;NO;5
2;02. NORORIENTAL;59;LA GRANJITA;A;NO;52
2;02. NORORIENTAL;59;LA GRANJITA;B;NO;147
2;02. NORORIENTAL;59;LA GRANJITA;C;NO;29
2;02. NORORIENTAL;59;LA GRANJITA;D;NO;1
2;02. NORORIENTAL;61;REGADERO NORTE;A;SI;193
2;02. NORORIENTAL;61;REGADERO NORTE;B;SI;728
2;02. NORORIENTAL;61;REGADERO NORTE;C;SI;640
2;02. NORORIENTAL;61;REGADERO NORTE;D;SI;62
2;02. NORORIENTAL;62;PRIMAVERAL REGADERO;A;SI;8
2;02. NORORIENTAL;62;PRIMAVERAL REGADERO;B;SI;50
2;02. NORORIENTAL;62;PRIMAVERAL REGADERO;C;SI;81
2;02. NORORIENTAL;62;PRIMAVERAL REGADERO;D;SI;21
2;02. NORORIENTAL;64;LA JUVENTUD;A;SI;225
2;02. NORORIENTAL;64;LA JUVENTUD;B;SI;655
2;02. NORORIENTAL;64;LA JUVENTUD;C;SI;451
2;02. NORORIENTAL;64;LA JUVENTUD;D;SI;40
2;02. NORORIENTAL;65;ESPERANZA I;A;SI;232
2;02. NORORIENTAL;65;ESPERANZA I;B;SI;676
2;02. NORORIENTAL;65;ESPERANZA I;C;SI;480
2;02. NORORIENTAL;65;ESPERANZA I;D;SI;34
2;02. NORORIENTAL;66;SAN CRISTOBAL;A;SI;169
2;02. NORORIENTAL;66;SAN CRISTOBAL;B;SI;396
2;02. NORORIENTAL;66;SAN CRISTOBAL;C;SI;240
2;02. NORORIENTAL;66;SAN CRISTOBAL;D;SI;22
2;02. NORORIENTAL;67;TRANSICION I AL V;A;SI;1342
2;02. NORORIENTAL;67;TRANSICION I AL V;B;SI;2639
2;02. NORORIENTAL;67;TRANSICION I AL V;C;SI;1315
2;02. NORORIENTAL;67;TRANSICION I AL V;D;SI;84
2;02. NORORIENTAL;68;NUEVA COLOMBIA;A;NO;93
2;02. NORORIENTAL;68;NUEVA COLOMBIA;B;NO;178
2;02. NORORIENTAL;68;NUEVA COLOMBIA;C;NO;124
2;02. NORORIENTAL;68;NUEVA COLOMBIA;D;NO;9
2;02. NORORIENTAL;69;VILLA MERCEDES;A;SI;552
2;02. NORORIENTAL;69;VILLA MERCEDES;B;SI;1040
2;02. NORORIENTAL;69;VILLA MERCEDES;C;SI;546
2;02. NORORIENTAL;69;VILLA MERCEDES;D;SI;35
2;02. NORORIENTAL;70;OLITAS;A;NO;105
2;02. NORORIENTAL;70;OLITAS;B;NO;150
2;02. NORORIENTAL;70;OLITAS;C;NO;102
2;02. NORORIENTAL;70;OLITAS;D;NO;4
2;02. NORORIENTAL;71;BOSQUE NORTE ;A;SI;166
2;02. NORORIENTAL;71;BOSQUE NORTE ;B;SI;627
2;02. NORORIENTAL;71;BOSQUE NORTE ;C;SI;471
2;02. NORORIENTAL;71;BOSQUE NORTE ;D;SI;39
2;02. NORORIENTAL;72;LA INDEPENDENCIA;A;SI;713
2;02. NORORIENTAL;72;LA INDEPENDENCIA;B;SI;1738
2;02. NORORIENTAL;72;LA INDEPENDENCIA;C;SI;1133
2;02. NORORIENTAL;72;LA INDEPENDENCIA;D;SI;87
2;02. NORORIENTAL;271;MONEQUE;A;NO;8
2;02. NORORIENTAL;271;MONEQUE;B;NO;44
2;02. NORORIENTAL;271;MONEQUE;C;NO;26
2;02. NORORIENTAL;271;MONEQUE;D;NO;2
3;03. SAN FRANCISCO;21;MIRADOR DE LA UIS;A;NO;2
3;03. SAN FRANCISCO;74;NORTE BAJO;A;SI;27
3;03. SAN FRANCISCO;74;NORTE BAJO;B;SI;205
3;03. SAN FRANCISCO;74;NORTE BAJO;C;SI;310
3;03. SAN FRANCISCO;74;NORTE BAJO;D;SI;44
3;03. SAN FRANCISCO;75;SAN RAFAEL;A;SI;248
3;03. SAN FRANCISCO;75;SAN RAFAEL;B;SI;784
3;03. SAN FRANCISCO;75;SAN RAFAEL;C;SI;971
3;03. SAN FRANCISCO;75;SAN RAFAEL;D;SI;101
3;03. SAN FRANCISCO;76;CHAPINERO;A;SI;114
3;03. SAN FRANCISCO;76;CHAPINERO;B;SI;352
3;03. SAN FRANCISCO;76;CHAPINERO;C;SI;404
3;03. SAN FRANCISCO;76;CHAPINERO;D;SI;62
3;03. SAN FRANCISCO;95;COMUNEROS;A;SI;438
3;03. SAN FRANCISCO;95;COMUNEROS;B;SI;1673
3;03. SAN FRANCISCO;95;COMUNEROS;C;SI;2071
3;03. SAN FRANCISCO;95;COMUNEROS;D;SI;469
3;03. SAN FRANCISCO;96;MODELO;A;SI;36
3;03. SAN FRANCISCO;96;MODELO;B;SI;241
3;03. SAN FRANCISCO;96;MODELO;C;SI;360
3;03. SAN FRANCISCO;96;MODELO;D;SI;91
3;03. SAN FRANCISCO;97;MUTUALIDAD;A;SI;68
3;03. SAN FRANCISCO;97;MUTUALIDAD;B;SI;423
3;03. SAN FRANCISCO;97;MUTUALIDAD;C;SI;567
3;03. SAN FRANCISCO;97;MUTUALIDAD;D;SI;194
3;03. SAN FRANCISCO;98;SAN FRANCISCO;A;NO;147
3;03. SAN FRANCISCO;98;SAN FRANCISCO;B;NO;552
3;03. SAN FRANCISCO;98;SAN FRANCISCO;C;NO;988
3;03. SAN FRANCISCO;98;SAN FRANCISCO;D;NO;368
3;03. SAN FRANCISCO;99;ALARCON;A;SI;25
3;03. SAN FRANCISCO;99;ALARCON;B;SI;44
3;03. SAN FRANCISCO;99;ALARCON;C;SI;124
3;03. SAN FRANCISCO;99;ALARCON;D;SI;32
3;03. SAN FRANCISCO;101;UNIVERSIDAD;A;NO;30
3;03. SAN FRANCISCO;101;UNIVERSIDAD;B;NO;50
3;03. SAN FRANCISCO;101;UNIVERSIDAD;C;NO;45
3;03. SAN FRANCISCO;101;UNIVERSIDAD;D;NO;5
3;03. SAN FRANCISCO;113;PUERTO RICO;A;SI;27
3;03. SAN FRANCISCO;113;PUERTO RICO;B;SI;48
3;03. SAN FRANCISCO;113;PUERTO RICO;C;SI;69
3;03. SAN FRANCISCO;113;PUERTO RICO;D;SI;8
4;04. OCCIDENTAL;77;GAITAN;A;SI;511
4;04. OCCIDENTAL;77;GAITAN;B;SI;1467
