COMUNA,BARRIO,CAPITULO,Count of capitulo
02. NORORIENTAL,ASENTAMIENTO MIRADOR DEL NORTE,Cap. 3 - COMPORTAMIENTOS QUE AFECTAN LA ACTIVIDAD ECONÓMICA,2
02. NORORIENTAL,ASENTAMIENTO MIRADOR DEL NORTE,Cap. 4 - DE LA SEGURIDAD DE LOS EQUIPOS TERMINALES MÓVILES Y/O TARJETAS SIMCARD (IMSI),1
02. NORORIENTAL,ASENTAMIENTO MIRADOR DEL NORTE,Cap. 4 - EJEMPLARES CANINOS POTENCIALMENTE PELIGROSOS,1
02. NORORIENTAL,ASENTAMIENTO PRIMAVERAL,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,2
02. NORORIENTAL,ASENTAMIENTO PRIMAVERAL,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,1
02. NORORIENTAL,BOSCONIA,Cap. 1 - VIDA E INTEGRIDAD DE LAS PERSONAS,23
02. NORORIENTAL,BOSCONIA,Cap. 2 - DE LOS ESTABLECIMIENTOS EDUCATIVOS,68
02. NORORIENTAL,BOSCONIA,Cap. 2 - DEL CUIDADO E INTEGRIDAD DEL ESPACIO PÚBLICO,2
02. NORORIENTAL,BOSCONIA,Cap. 2 - LIMPIEZA Y RECOLECCIÓN DE RESIDUOS Y DE ESCOMBROS,1
02. NORORIENTAL,BOSCONIA,Cap. 3 - COMPORTAMIENTOS QUE AFECTAN LA ACTIVIDAD ECONÓMICA,1
02. NORORIENTAL,BOSQUE NORTE,Cap. 1 - DE LA SALUD PÚBLICA,1
02. NORORIENTAL,BOSQUE NORTE,Cap. 1 - PRIVACIDAD DE LAS PERSONAS,1
